source_id,date,frp,normal_frp,ratio,industry_name,region
korba_21.9122_82.6908,2025-01-02,17.53,3.61,4.86,Prakash Industries Steel Plant,korba
korba_22.0356_83.3564,2025-04-18,8.15,1.68,4.85,,korba
korba_22.3312_82.6625,2025-05-11,4.06,0.84,4.83,Kusmunda Open Cast Mine,korba
korba_22.3289_82.5940,2025-06-08,8.48,1.76,4.82,Gevra Open Cast Mine,korba
korba_21.7779_83.1822,2025-01-11,20.33,4.22,4.82,AVANTHA BHANDAR TPP,korba
singrauli_24.1590_82.6717,2025-01-01,6.07,1.26,4.82,Dudhichua Mine,singrauli
singrauli_24.1428_82.6776,2025-05-06,4.91,1.02,4.81,Dudhichua Mine,singrauli
punjab_30.7121_75.2327,2025-05-10,30.42,6.32,4.81,Grandfather Food Processing,punjab
singrauli_24.1505_82.5672,2025-02-27,10.19,2.12,4.81,Block - B coal mine,singrauli
korba_21.6133_82.4474,2025-01-15,25.31,5.26,4.81,,korba
korba_22.3173_82.5347,2025-07-23,7.4,1.54,4.81,Dipka Open Cast Mine,korba
korba_22.0048_82.6706,2025-05-15,8.87,1.85,4.79,Prakash Industries Steel Plant,korba
korba_21.6467_82.6267,2025-03-08,29.66,6.21,4.78,,korba
singrauli_24.1390_82.7038,2025-12-07,5.19,1.08,4.78,Khadia Mine,singrauli
punjab_30.7964_75.3356,2025-05-13,35.46,7.47,4.75,Grandfather Food Processing,punjab
korba_21.9221_83.3485,2025-03-15,14.09,2.97,4.74,Jindal Steel Works,korba
korba_21.6603_83.3688,2025-12-21,23.45,4.96,4.73,,korba
korba_22.0356_83.3564,2025-06-15,7.95,1.68,4.73,,korba
singrauli_24.1641_82.6218,2025-01-31,6.72,1.42,4.73,Nigahi Mine,singrauli
singrauli_24.1905_82.5788,2025-06-13,4.54,0.96,4.73,Block - B coal mine,singrauli
singrauli_24.1825_82.6579,2025-05-12,5.38,1.14,4.72,Jayant Mine,singrauli
singrauli_24.1788_82.5590,2025-06-15,6.35,1.35,4.72,Block - B coal mine,singrauli
punjab_30.4346_76.3017,2025-11-15,16.22,3.45,4.7,,punjab
korba_21.9924_82.2510,2025-12-29,20.54,4.37,4.7,,korba
korba_21.9289_83.1447,2025-01-03,12.95,2.77,4.68,Athena Chhattisgarh power station,korba
singrauli_24.1505_82.5672,2025-04-04,9.93,2.12,4.68,Block - B coal mine,singrauli
korba_21.9221_83.3485,2025-04-21,13.9,2.97,4.68,Jindal Steel Works,korba
